Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,1999,"ZIMSTAT_Industry, Mining and Energy Section_-",460000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2000,"ZIMSTAT_Industry, Mining and Energy Section_-",409300,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2001,"ZIMSTAT_Industry, Mining and Energy Section_-",317000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2002,"ZIMSTAT_Industry, Mining and Energy Section_-",250000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2003,"ZIMSTAT_Industry, Mining and Energy Section_-",159000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2004,"ZIMSTAT_Industry, Mining and Energy Section_-",238000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2005,"ZIMSTAT_Industry, Mining and Energy Section_-",695000,
Annual  number of  passengers  carried  by air,Number,Total ,Zimbabwe,AFRZWE,2006,"ZIMSTAT_Industry, Mining and Energy Section_-",463000,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1990,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1991,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1992,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1993,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1994,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1995,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1996,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1997,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1998,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,1999,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,2000,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,2001,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,2002,"ZIMSTAT_Industry, Mining and Energy Section_-",25814000,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,2003,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Annual quantity of cargo  carried by air ,Number,Total ,Zimbabwe,AFRZWE,2004,"ZIMSTAT_Industry, Mining and Energy Section_-",,
Adquacy of land redistribution,Percent,Not Stated,Mashonaland West,AFRZWE004,2003,MPSL&SW_PASS_2003,10,
Adquacy of land redistribution,Percent,Adequate,Mashonaland West,AFRZWE004,2003,MPSL&SW_PASS_2003,33.3,
Adquacy of land redistribution,Percent,Not Adequate,Mashonaland West,AFRZWE004,2003,MPSL&SW_PASS_2003,56.7,
Adquacy of land redistribution,Percent,Not Stated,Matabeleland North,AFRZWE005,2003,MPSL&SW_PASS_2003,3,
Adquacy of land redistribution,Percent,Not Adequate,Matabeleland North,AFRZWE005,2003,MPSL&SW_PASS_2003,33.3,
Adquacy of land redistribution,Percent,Adequate,Matabeleland North,AFRZWE005,2003,MPSL&SW_PASS_2003,63.6,
Adquacy of land redistribution,Percent,Not Adequate,Matabeleland South,AFRZWE006,2003,MPSL&SW_PASS_2003,28.6,
Adquacy of land redistribution,Percent,Not Stated,Matabeleland South,AFRZWE006,2003,MPSL&SW_PASS_2003,4.8,
Adquacy of land redistribution,Percent,Adequate,Matabeleland South,AFRZWE006,2003,MPSL&SW_PASS_2003,66.7,
Adquacy of land redistribution,Percent,Not Stated,Midlands,AFRZWE007,2003,MPSL&SW_PASS_2003,10.5,
Adquacy of land redistribution,Percent,Adequate,Midlands,AFRZWE007,2003,MPSL&SW_PASS_2003,42.1,
Adquacy of land redistribution,Percent,Not Adequate,Midlands,AFRZWE007,2003,MPSL&SW_PASS_2003,47.4,
Adquacy of land redistribution,Percent,Not Stated,Masvingo,AFRZWE008,2003,MPSL&SW_PASS_2003,0,
Access to land for cultivation,Percent,Total ,Manicaland,AFRZWE001,2003,MPSL&SW_PASS_2003,82,
Access to land for cultivation,Percent,Total ,Mashonaland Central,AFRZWE002,2003,MPSL&SW_PASS_2003,83,
Access to land for cultivation,Percent,Total ,Mashonaland East,AFRZWE003,2003,MPSL&SW_PASS_2003,82,
Access to land for cultivation,Percent,Total ,Mashonaland West,AFRZWE004,2003,MPSL&SW_PASS_2003,66,
Access to land for cultivation,Percent,Total ,Matabeleland North,AFRZWE005,2003,MPSL&SW_PASS_2003,93,
Access to land for cultivation,Percent,Total ,Matabeleland South,AFRZWE006,2003,MPSL&SW_PASS_2003,92,
Access to land for cultivation,Percent,Total ,Midlands,AFRZWE007,2003,MPSL&SW_PASS_2003,94,
Access to land for cultivation,Percent,Very Poor,Chirumanzu,AFRZWE007001,2003,MPSL&SW_PASS_2003,100,
Access to land for cultivation,Percent,Non Poor,Chirumanzu,AFRZWE007001,2003,MPSL&SW_PASS_2003,86.7,
Access to land for cultivation,Percent,Poor,Chirumanzu,AFRZWE007001,2003,MPSL&SW_PASS_2003,96.2,
Access to land for cultivation,Percent,Total ,Chirumanzu,AFRZWE007001,2003,MPSL&SW_PASS_2003,97.2,
Access to land for cultivation,Percent,Non Poor,Gokwe_South,AFRZWE007002,2003,MPSL&SW_PASS_2003,94.2,
Access to land for cultivation,Percent,Poor,Gokwe_South,AFRZWE007002,2003,MPSL&SW_PASS_2003,95.2,
Access to land for cultivation,Percent,Total ,Gokwe_South,AFRZWE007002,2003,MPSL&SW_PASS_2003,97.4,
